은/는 (eun/neun)	Shows the topic: as for this. Example: 저는 학생이에요 = I am a student.
이/가 (i/ga)	Shows the subject: who or what does it. Example: 물이 차가워요 = The water is cold.
을/를 (eul/reul)	Shows the object: what you act on. Example: 커피를 마셔요 = I drink coffee.
에 (e)	Use for a place or time. Example: 학교에 가요 = I go to school.
에서 (e-seo)	Use for where an action happens. Example: 카페에서 공부해요 = I study at the cafe.
(으)로 (eu-ro)	Use for destination or direction. Example: 홍대로 가주세요 = Please go to Hongdae.
도 (do)	Means also or too. Example: 저도 좋아요 = I like it too.
와/과 (wa/gwa)	Means and or with. Example: 커피와 케이크 = coffee and cake.
하고 (ha-go)	Means and or with in spoken Korean. Example: 친구하고 같이 = together with a friend.
의 (e)	Shows possession: of or 's. Example: 한국의 음식 = Korea's food.
에서 (from) (e-seo)	Means from a starting place. Example: 여기에서 홍대까지 = from here to Hongdae.
까지 (kka-ji)	Means until or up to. Example: 강남까지 얼마예요? = How much to Gangnam?
부터 (bu-teo)	Means from a starting time or place. Example: 월요일부터 금요일까지 = Monday to Friday.
만 (man)	Means only or just. Example: 물만 주세요 = Just water, please.
