-주세요 (ju-se-yo)	Use for polite requests. Example: 물 주세요 = Water, please.
-(으)로 (eu-ro)	Use for destination or direction. Example: 홍대로 가주세요 = Please go to Hongdae.
-요 (yo)	Makes speech polite. Example: 죄송해요 = I am sorry.
-아요/어요 (a-yo/eo-yo)	Use for polite present speech. Example: 감사해요 = Thank you.
-(이)요 (i-yo)	Use after a noun to answer or order politely. Example: 포장이요 = To go, please.
-야/이야 (ya/i-ya)	Use casually with friends or fans. Example: 찐이야 = It is real.
-ㄹ게요 (l-ge-yo)	Use for I will or a soft promise. Example: 먹고 갈게요 = I will eat here.
-고 (go)	Connects actions: and. Example: 먹고 갈게요 = I will eat and go.
-에서 (e-seo)	Use for where something happens. Example: 카페에서 만나요 = Meet at the cafe.
-겠- (gess)	Softens I know or do not know. Example: 모르겠어요 = I am not sure.
안- (an)	Makes a verb negative. Example: 안 돼요 = It is not okay.
-지 않다 (ji an-ta)	A more formal way to say not. Example: 어렵지 않아요 = It is not hard.
-ㅂ니다/습니다 (m-ni-da/seup-ni-da)	Formal polite ending. Example: 감사합니다 = Thank you.
-고 싶다 (go sip-da)	Means want to. Example: 가고 싶어요 = I want to go.
-줘 (jwo)	Casual request with friends or fans. Example: 알려줘 = Tell me.
