아 네 (ah ne)	Ah yes. Use when: Anyone says anything and you want to respond warmly.
진짜요? (jin-jja-yo)	Really? Use when: Someone says something interesting or surprising.
대박! (dae-bak)	Amazing or wow. Use when: You see or hear something impressive.
헐! (heol)	OMG or whoa. Use when: You are shocked or amazed.
아이고 (ai-go)	Oh my. Use when: You hear bad news or feel surprised.
괜찮아요 (gwaen-chan-a-yo)	I am fine, no thanks. Use when: Someone offers something you do not want.
잘 모르겠어요 (jal mo-reu-gess-eo-yo)	I am not sure. Use when: You do not understand what someone said.
한국말 잘 몰라요 (han-guk-mal jal mol-la-yo)	I do not know Korean well. Use when: Someone keeps talking Korean and you are lost.
감사해요 (gam-sa-hae-yo)	Thank you. Use when: Anyone does something nice for you.
아니에요 (a-ni-e-yo)	No no, not at all. Use when: Someone compliments you.
맞아요! (maj-a-yo)	That's right. Use when: You agree with what someone said.
네, 알겠어요 (ne al-gess-eo-yo)	Yes, I understand. Use when: Someone explains something and you understand.
