[Q] 뭐라고 해요? (mwo-ra-go hae-yo?) / [A] 아 네 (ah ne)	[Q] What do you say? / [A] Ah yes.
[Q] 진짜예요? (jin-jja-ye-yo?) / [A] 진짜요? (jin-jja-yo?)	[Q] Is it real? / [A] Really?
[Q] 이거 대단해요? (i-geo dae-dan-hae-yo?) / [A] 대박! (dae-bak)	[Q] Is this amazing? / [A] Wow.
[Q] 놀랐어요? (nol-la-sseo-yo?) / [A] 헐! (heol)	[Q] Are you shocked? / [A] OMG.
[Q] 괜찮아요? (gwaen-chan-a-yo?) / [A] 아이고 (ai-go)	[Q] Are you okay? / [A] Oh my.
[Q] 필요하세요? (pi-ryo-ha-se-yo?) / [A] 괜찮아요 (gwaen-chan-a-yo)	[Q] Do you need it? / [A] No thanks.
[Q] 이해했어요? (i-hae-hae-sseo-yo?) / [A] 잘 모르겠어요 (jal mo-reu-gess-eo-yo)	[Q] Did you understand? / [A] I am not sure.
[Q] 한국말 잘하세요? (han-guk-mal jal-ha-se-yo?) / [A] 한국말 잘 몰라요 (han-guk-mal jal mol-la-yo)	[Q] Do you speak Korean well? / [A] I do not know Korean well.
[Q] 고마워요? (go-ma-wo-yo?) / [A] 감사해요 (gam-sa-hae-yo)	[Q] Are you thankful? / [A] Thank you.
[Q] 예뻐요 (ye-ppeo-yo) / [A] 아니에요 (a-ni-e-yo)	[Q] You are pretty. / [A] No no.
[Q] 맞아요? (ma-ja-yo?) / [A] 맞아요! (ma-ja-yo)	[Q] Is that right? / [A] That's right.
[Q] 알겠어요? (al-ge-sseo-yo?) / [A] 네, 알겠어요 (ne al-ge-sseo-yo)	[Q] Do you understand? / [A] Yes, I understand.
